num_leaves	min_data_in_leaf	coverage	min_gain_to_split	bagging_fraction	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
164	4	0.490918303594952	0.0038177455370403	0.798831221269214	0.93948639762361	3			86.0799999999999	-0.00031138585167172		0.0590000000001965	infill_ei	0.428000000000338	0.00137287637223955	0.933798279447711	179
156	6	0.404069632813593	0.101495435356063	0.762777709616781	0.938290788013319	6			88.165	-0.00058569042050895		0.0319999999996981	infill_ei	0.422000000000025	0.00109989028946309	0.939754290397597	197
218	10	0.496662595311611	0.00307283640183584	0.925238813336756	0.93792839781361	5			113.635	-0.00032536665484694		0.0340000000001055	infill_ei	0.454999999999927	0.00141076285897844	0.938922881911915	253
152	4	0.476238503490434	0.420540444569524	0.974031211635245	0.937208714974547	7			77.1320000000001	-0.000244559363438417		0.0500000000001819	infill_ei	0.422999999999774	0.0011193798203736	0.938999043764057	200
159	3	0.616708289741353	0.00938406922776347	0.826690392283823	0.935573093222794	4			98.5079999999998	-0.000276784355410382		0.05600000000004	infill_ei	0.411999999999807	0.00075217416350813	0.939438607230716	227
208	5	0.439877062603312	0.00269331620468562	0.809237311320653	0.935391434708362	10			85.3940000000002	-0.000358515696564738		0.0729999999998654	infill_ei	0.435999999999694	0.000839771646572306	0.939532383811993	153
169	5	0.377138090883908	0.139265930824541	0.93639908837358	0.935217422534461	9			84.2570000000001	-0.000970135687391471		0.0430000000001201	infill_ei	0.434000000000196	0.0012931821218952	0.940229182075362	181
194	11	0.488633027308341	0.00661317565668562	0.734980242057693	0.935194715220157	8			82.1839999999997	-0.00028767253048685		0.0369999999998072	infill_ei	0.423999999999978	0.000666679491315952	0.939528737059919	145
188	2	0.0531415861000999	0.924728833028303	0.726264940051325	0.934361959224151	1			64.3380000000002	-0.00224804427316596		0.116999999999734	infill_ei	0.458000000000084	0.00170156976246946	0.934715324801675	174
193	3	0.115254272548128	4.57368932181544	0.922835944902791	0.934015093412794	2			60.5799999999999	-0.000970275737972067		0.0289999999999964	infill_ei	0.407000000000153	0.00176479288591756	0.934842523956983	162
168	950	0.0763335167063334	4.95146473029271	0.63227870744047	0.932549313103742	0			57.06				initdesign				154
199	1487	0.113366400532008	1.31328886937445	0.950691256257422	0.932293971671467	0			66.203				initdesign				144
45	187	0.51078524228845	9.83978465424739	0.910066644723728	0.931366794955269	0			52.991				initdesign				140
76	2087	0.757079164622111	2.687161571097	0.988164896701532	0.93082934989886	0			65.6379999999999				initdesign				194
256	675	0.162445678853826	9.08425485797343	0.568567400480858	0.93050924627936	0			54.759				initdesign				145
101	2934	0.219462956427199	3.77347339698637	0.843743538268296	0.928413569705662	0			63.1130000000001				initdesign				166
224	2530	0.813405609686362	7.84325492880238	0.823759869216488	0.927725514911523	0			57.6949999999999				initdesign				164
35	3414	0.629332574625424	5.1065058505985	0.789124946014022	0.927469478357381	0			59.4689999999998				initdesign				166
81	5513	0.568063312940572	0.669888743627085	0.744566313077182	0.927156094249257	0			120.336				initdesign				404
147	6983	0.586119711505692	0.214412488997401	0.717971753396123	0.926615521144449	0			103.468				initdesign				315
137	4598	0.673203874596838	1.6864440286952	0.884469065790662	0.926344887031111	0			96.3050000000001				initdesign				345
218	4474	0.409830936593314	2.41264323420585	0.853740632202954	0.926275374844467	0			84.829				initdesign				285
158	3802	0.77804896801924	4.1166436244412	0.597088927809265	0.92617481388112	0			59.3590000000002				initdesign				158
183	5028	0.280005085105905	6.32687615183886	0.675249636103847	0.924318838497703	0			64.827				initdesign				198
64	5933	0.33843917032479	6.98700265744621	0.938835167256816	0.924172862905748	0			65.55				initdesign				205
17	6530	0.870912742875482	5.97006319970199	0.66462323459369	0.923818119046571	0			67.2160000000001				initdesign				216
128	6575	0.918222609878355	3.46185255995144	0.774007715370647	0.923639241019605	0			84.826				initdesign				254
7	1965	0.44824426425209	7.17351292739406	0.609690536148993	0.923235143507909	0			64.3269999999998				initdesign				221
241	7702	0.957787458370391	8.10169460278761	0.526720056154945	0.921203533999569	0			65.5790000000002				initdesign				213
108	7829	0.317944125346229	8.74985513113669	0.518690591646043	0.920419899948793	0			66.057				initdesign				213
