Feature	Gain	Cover	Frequency
cproductos	0.00862704765292992	0.032666014417131	0.0119272029338177
Visa_status_delta1	0.00861462490385452	0.000427347336995681	0.000582650718031326
mrentabilidad_rank_delta2	0.00854952673971936	0.00269986120581917	0.00966514720499023
chomebanking_transacciones_delta1	0.00843254894044453	0.00527772436676079	0.0100421564931281
mcomisiones_rank	0.00827871278670347	0.0214232533620114	0.0144291736641875
chomebanking_transacciones	0.00824458190203409	0.00469452246395101	0.010796175069404
mactivos_margen_rank_lag1	0.00822554478412305	0.0069182796164144	0.0106933543544573
Master_fechaalta_lag2	0.00802002421860605	0.00274947411364842	0.00969942077663913
mcaja_ahorro_rank_delta2	0.00797794107118959	0.00325036460205354	0.00956232649004353
cliente_edad_lag2	0.00792604719309194	0.0119752544157551	0.0131953250848271
chomebanking_transacciones_lag1	0.00787995549431412	0.00345358380313401	0.0090139493436611
Master_fechaalta_lag1	0.00776961062602661	0.00331294357493718	0.010796175069404
cproductos_delta2	0.00753873292014973	0.00972930096142787	0.00466120574425061
ctrx_quarter_lag2	0.00753435469702565	0.00730526584116833	0.00956232649004353
mpasivos_margen_rank	0.007530060880424	0.0038189280946012	0.00822565719573637
mcuenta_corriente_rank_delta1	0.00744867107163768	0.00548055550983726	0.00928813791685231
cliente_antiguedad_lag2	0.00738568884804575	0.00386482981278899	0.00719745004626932
mactivos_margen_rank_delta2	0.00732156196214511	0.00372575105608446	0.0103506186379683
ctarjeta_visa_transacciones_lag1	0.00728362677265987	0.00736111539549049	0.0067176200431847
mcuenta_corriente_rank_delta2	0.00727828825840787	0.00402965591007659	0.00880830791376769
mactivos_margen_rank	0.00716019198805604	0.00787114064611682	0.011138910785893
mcuenta_corriente_rank_lag1	0.0071015659541003	0.0084994157940741	0.00860266648387428
Visa_mpagominimo_rank_delta1	0.00703757692969742	0.00274523011420781	0.00829420433903417
Visa_fechaalta_lag2	0.0068566468501135	0.00430461040503992	0.0118586557905199
mcuentas_saldo_rank_lag2	0.00682742809186696	0.00282085214778156	0.00825993076738527
cliente_antiguedad_lag1	0.00670765710286865	0.00510313214303912	0.0105562600678617
mcuenta_corriente_rank_lag2	0.00650251171412963	0.00485233887856312	0.00815711005243857
mrentabilidad_rank_lag2	0.00635346977174251	0.00300064927647756	0.00867121362717209
kmes	0.00630570553372788	0.00359419631290199	0.00726599718956713
mcuentas_saldo_rank_delta2	0.00626633295430325	0.00498604949954562	0.0100421564931281
Visa_mpagominimo_rank_lag2	0.00617526241015465	0.00529882733059753	0.00726599718956713
mcaja_ahorro_rank_lag1	0.00606737397464487	0.00535528669035455	0.00688898790142921
chomebanking_transacciones_delta2	0.00605262632237577	0.00489639578131919	0.00863694005552319
mcaja_ahorro_rank_delta1	0.00604002819091547	0.00471946289027178	0.00959660006169243
mcuentas_saldo_rank_delta1	0.00597275769536278	0.00496906426230691	0.00973369434828803
chomebanking_transacciones_lag2	0.00585645665273142	0.00355028416194106	0.00716317647462042
mrentabilidad_annual_rank_delta1	0.00583507355865095	0.00833486072142422	0.0137779758028584
mpasivos_margen_rank_delta2	0.00562882369781692	0.00380198597491849	0.00973369434828803
Visa_mpagominimo_rank_lag1	0.00558508374319387	0.00643402326514912	0.00836275148233198
mrentabilidad_rank_delta1	0.00540867646788723	0.00375001392081094	0.00798574219419406
mcomisiones_rank_delta1	0.00540229117023578	0.00532910509438606	0.00939095863179902
Master_mpagominimo_rank	0.00531869661135404	0.0121817936686476	0.00599787503855777
mpasivos_margen_rank_lag1	0.00520938052496786	0.00314960811315702	0.00771155362100285
mactivos_margen_rank_delta1	0.00493796490686042	0.00426051654437871	0.0090139493436611
kmes_lag2	0.00488087276697321	0.00191716669069752	0.00562086575041985
